item,amount,quantity
Ball Park Beef Franks,10.98,24
Old Tyme GameDay Long Rolls,3.26,16
Member's Mark Ground Beef Patties,38.98,40
Old Tyme GameDay Buns,3.26,16
Original Philly Beef Sandwich Slices,39.98,40
Member's Mark Petite Hoagie Rolls,6.98,18
Member's Mark White American Cheese Slices,13.84,160
Mission 10" Burrito Flour Tortillas,8.98,20
Member's Mark Mexican Style 4 Cheese Blend Shredded,15,40
Frito-Lay Classic Mix Variety Pack Chips,19,50
Coca-Cola Soft Drink 12 fl. oz,21,35
Diet Coca-Cola Soft Drink 12 fl. oz,21,35
Sprite Soft Drink 12 fl. oz,21,35
Member's Mark Purified Water 16.9 fl. oz,5,40
